"source","target"
"ZGAMEPAD_MENUITEM_HEADLINE.text[0]","NASTAVENÍ ZGAMEPAD"
"ZGAMEPAD_MENUITEM_ENABLED.text[0]","Zapnout"
"ZGAMEPAD_MENUITEM_ENABLED_CHOICE.text[0]","ne|ano"
"ZGAMEPAD_MENUITEM_GAMEPAD_ID.text[0]","ID ovladače"
"ZGAMEPAD_MENUITEM_SENSITIVITY.text[0]","Citlivost"
"ZGAMEPAD_MENUITEM_HINTS.text[0]","Nápověda"
"ZGAMEPAD_MENUITEM_HINTS_CHOICE.text[0]","vypnout|zapnout"
"ZGAMEPAD_MENUITEM_HINTS_SCHEME.text[0]","Pomocné ikony"
"ZGAMEPAD_MENUITEM_HINTS_SCALE.text[0]","Velikost nápovědy"
"ZGAMEPAD_MENUITEM_HINTS_TRANSPARENCY.text[0]","Průhlednost nápovědy"
"ZGAMEPAD_MENUITEM_OPEN_LINK.text[0]","Otevřít stránky projektu"
"ZGAMEPAD_MENUITEM_DISCONNECTED_HEADLINE.text[0]","Ovladač byl odpojen!"
"ZGAMEPAD_MENUITEM_DISCONNECTED_MESSAGE_01.text[0]","Připojte ovladač a stiskněte tlačítko pokračovat"
"UNION_MENUITEM_DISCONNECTED_BACK.text[0]","Pokračovat"
