"ZGAMEPAD_MENUITEM_HEADLINE.text[0]","ZGAMEPAD EINSTELLUNGEN"
"ZGAMEPAD_MENUITEM_ENABLED.text[0]","Aktiviert"
"ZGAMEPAD_MENUITEM_ENABLED_CHOICE.text[0]","Nein|Ja"
"ZGAMEPAD_MENUITEM_GAMEPAD_ID.text[0]","Controller ID"
"ZGAMEPAD_MENUITEM_SENSITIVITY.text[0]","Empfindlichkeit"
"ZGAMEPAD_MENUITEM_HINTS.text[0]","Hinweise"
"ZGAMEPAD_MENUITEM_HINTS_CHOICE.text[0]","Aus|Ein"
"ZGAMEPAD_MENUITEM_HINTS_SCHEME.text[0]","Hinweisicons"
"ZGAMEPAD_MENUITEM_HINTS_SCALE.text[0]","Hinweisscalierung"
"ZGAMEPAD_MENUITEM_HINTS_TRANSPARENCY.text[0]","Hinweisdurchsichtigkeit"
"ZGAMEPAD_MENUITEM_OPEN_LINK.text[0]","Projektseite öffnen"
"ZGAMEPAD_MENUITEM_DISCONNECTED_HEADLINE.text[0]","Controller wurde getrennt!"
"ZGAMEPAD_MENUITEM_DISCONNECTED_MESSAGE_01.text[0]","Schließen Sie den Controller an und klicken Sie auf Weiter."
"UNION_MENUITEM_DISCONNECTED_BACK.text[0]","ZURÜCK"
