"ZGAMEPAD_MENUITEM_HEADLINE.text[0]","ZGAMEPAD SETTINGS"
"ZGAMEPAD_MENUITEM_ENABLED.text[0]","Enabled"
"ZGAMEPAD_MENUITEM_ENABLED_CHOICE.text[0]","no|yes"
"ZGAMEPAD_MENUITEM_GAMEPAD_ID.text[0]","Controller ID"
"ZGAMEPAD_MENUITEM_SENSITIVITY.text[0]","Sensitivity"
"ZGAMEPAD_MENUITEM_HINTS.text[0]","Hints"
"ZGAMEPAD_MENUITEM_HINTS_CHOICE.text[0]","off|on"
"ZGAMEPAD_MENUITEM_HINTS_SCHEME.text[0]","Hint icons"
"ZGAMEPAD_MENUITEM_HINTS_SCALE.text[0]","Hint scale"
"ZGAMEPAD_MENUITEM_HINTS_TRANSPARENCY.text[0]","Hints transparency"
"ZGAMEPAD_MENUITEM_OPEN_LINK.text[0]","Open project page"
"ZGAMEPAD_MENUITEM_DISCONNECTED_HEADLINE.text[0]","Controller has been disconnected!"
"ZGAMEPAD_MENUITEM_DISCONNECTED_MESSAGE_01.text[0]","Connect the controller and click Continue."
"UNION_MENUITEM_DISCONNECTED_BACK.text[0]","Continue"
