"ZGAMEPAD_MENUITEM_HEADLINE.text[0]","ZGAMEPAD НАСТРОЙКИ"
"ZGAMEPAD_MENUITEM_ENABLED.text[0]","Включен"
"ZGAMEPAD_MENUITEM_ENABLED_CHOICE.text[0]","нет|да"
"ZGAMEPAD_MENUITEM_GAMEPAD_ID.text[0]","Номер контроллера"
"ZGAMEPAD_MENUITEM_SENSITIVITY.text[0]","Чувствительность"
"ZGAMEPAD_MENUITEM_HINTS.text[0]","Подсказки"
"ZGAMEPAD_MENUITEM_HINTS_CHOICE.text[0]","выкл|вкл"
"ZGAMEPAD_MENUITEM_HINTS_SCHEME.text[0]","Вид подсказок"
"ZGAMEPAD_MENUITEM_HINTS_SCALE.text[0]","Размер подсказок"
"ZGAMEPAD_MENUITEM_HINTS_TRANSPARENCY.text[0]","Прозрачность подсказок"
"ZGAMEPAD_MENUITEM_OPEN_LINK.text[0]","Открыть страницу проекта"
"ZGAMEPAD_MENUITEM_DISCONNECTED_HEADLINE.text[0]","Контроллер был отключен!"
"ZGAMEPAD_MENUITEM_DISCONNECTED_MESSAGE_01.text[0]","Подключите контроллер и нажмите Продолжить."
"UNION_MENUITEM_DISCONNECTED_BACK.text[0]","Продолжить"
