"source","target"
"ZGAMEPAD_MENUITEM_HEADLINE.text[0]","ZGAMEPAD НАЛАШТУВАННЯ"
"ZGAMEPAD_MENUITEM_ENABLED.text[0]","Увімкнен"
"ZGAMEPAD_MENUITEM_ENABLED_CHOICE.text[0]","ні|так"
"ZGAMEPAD_MENUITEM_GAMEPAD_ID.text[0]","Номер контролера"
"ZGAMEPAD_MENUITEM_SENSITIVITY.text[0]","Чутливість"
"ZGAMEPAD_MENUITEM_HINTS.text[0]","Підказки"
"ZGAMEPAD_MENUITEM_HINTS_CHOICE.text[0]","вимк|вімк"
"ZGAMEPAD_MENUITEM_HINTS_SCHEME.text[0]","Вид підказок"
"ZGAMEPAD_MENUITEM_HINTS_SCALE.text[0]","Розмір підказок"
"ZGAMEPAD_MENUITEM_HINTS_TRANSPARENCY.text[0]","Прозорість підказок"
"ZGAMEPAD_MENUITEM_OPEN_LINK.text[0]","Відкрити сторінку проєкту"
"ZGAMEPAD_MENUITEM_DISCONNECTED_HEADLINE.text[0]","Контролер був відключен!"
"ZGAMEPAD_MENUITEM_DISCONNECTED_MESSAGE_01.text[0]","Підключість контролер й натисність Продовжити."
"UNION_MENUITEM_DISCONNECTED_BACK.text[0]","Продовжити"
